Company Name,Description,Webpage
1000 Kelvin,1000 Kelvin brings together build processing technology and AI simulation into one powerful software platform called ArN to enable the industrialization of sustainable applications and products.,https://1000kelvin.com/
1D.works,"1D.works leverages AI to enhance business profitability across industries such as manufacturing and legal, focusing on automation and innovation.",https://www.1d.works/
2txt – natural language generation,"2txt's software automates the creation of e-commerce texts with a combination of linguistics, computer science and artificial intelligence.",https://2txt.de/
3IVIS,"3IVIS partners with companies in Banking, Financial Services and Insurance to provide the full value chain across development, deployment, maintenance, as well as independent review of machine learning and quantitative models.",https://3ivis.com/
7Learnings,7Learnings helps retailers optimize their pricing by offering a predictive pricing software.,https://7learnings.com
Aaron,"Aaron focuses on the prioritization of doctors as well as patients through direct telephone inquiries. Thus, this artificial intelligence supports the search for an appointment slot and reduces the workload of the respective doctor's office.",https://aaron.ai/
Ada Health,"Ada Health is an AI health care app, currently helping three million people worldwide to analyze their symptoms. The main focus lies on the continuous improvement of user experiences, as well as integrating data into the symptom analysis.",https://ada.com/
adpack,"Adpack offers a programmatic ad platform, which depicts visual content on gender and age, on target audiences, in real-time.",https://www.adpack.tv/
Adspert,"Adspert is a powerful AdTech tool that connects, optimizes and compares PPC campaigns from different platforms.",https://www.adspert.net/de/
agenta,Agenta offers an open-source LLMOps platform that allows developers to quickly build production ready LLM-powered applications.,https://agenta.ai
AGENTS.inc,"AGENTS.inc offers generative AI with top-tier, secure, and user-friendly AI Agents for real-time data integration and process automation.",https://www.agents.inc/
AI Transformation Institute,Target group-specific courses with leading experts from business and science.,https://aiti.ai/
ai|coustics,ai|coustics develops innovative audio algorithms that improve the possibilities of speech audio enhancement based on AI and deep learning models.,https://ai-coustics.com
AICURA medical,"AICURA medical wants to make healthcare data usage available to interested AI companies and developers, trying to deal with existing issues such as data privacy, data quality or data harmonization.",https://www.aicura-medical.com/
Aignostics,Aignostics supports pathologists in the analysis of tissue samples in order to be able to draw faster and deeper conclusions from the results obtained.,https://www.aignostics.com/
Ailoys GmbH,Ailoys GmbH helps technological companies to use their process data efficiently.,https://www.ailoys.com/
AIME,AIME is a GPU Cloud provider and seller of HPC server technology specialized in artificial intelligence development.,https://www.aime.info/en/
